pfc,dms,session
pfc_69,dms_5,AKED0620210804
pfc_69,dms_40,AKED0620210804
pfc_69,dms_59,AKED0620210804
pfc_69,dms_6,AKED0620210804
pfc_69,dms_38,AKED0620210804
pfc_69,dms_84,AKED0620210804
pfc_69,dms_54,AKED0620210804
pfc_69,dms_60,AKED0620210804
pfc_69,dms_55,AKED0620210804
pfc_69,dms_74,AKED0620210804
pfc_69,dms_56,AKED0620210804
pfc_69,dms_69,AKED0620210804
pfc_69,dms_11,AKED0620210804
pfc_69,dms_68,AKED0620210804
pfc_69,dms_29,AKED0620210804
pfc_69,dms_37,AKED0620210804
pfc_69,dms_13,AKED0620210804
pfc_69,dms_20,AKED0620210804
pfc_69,dms_47,AKED0620210804
pfc_69,dms_19,AKED0620210804
pfc_69,dms_16,AKED0620210804
pfc_69,dms_27,AKED0620210804
pfc_69,dms_42,AKED0620210804
pfc_69,dms_2,AKED0620210804
pfc_69,dms_50,AKED0620210804
pfc_69,dms_32,AKED0620210804
pfc_69,dms_17,AKED0620210804
pfc_69,dms_64,AKED0620210804
pfc_69,dms_51,AKED0620210804
pfc_69,dms_85,AKED0620210804
pfc_69,dms_28,AKED0620210804
pfc_69,dms_23,AKED0620210804
pfc_69,dms_34,AKED0620210804
pfc_69,dms_93,AKED0620210804
pfc_69,dms_63,AKED0620210804
pfc_69,dms_46,AKED0620210804
pfc_69,dms_10,AKED0620210804
pfc_69,dms_81,AKED0620210804
pfc_69,dms_25,AKED0620210804
pfc_69,dms_12,AKED0620210804
pfc_69,dms_36,AKED0620210804
pfc_69,dms_30,AKED0620210804
pfc_69,dms_45,AKED0620210804
pfc_69,dms_70,AKED0620210804
pfc_69,dms_80,AKED0620210804
pfc_69,dms_49,AKED0620210804
pfc_69,dms_44,AKED0620210804
pfc_69,dms_75,AKED0620210804
pfc_69,dms_1,AKED0620210804
pfc_69,dms_73,AKED0620210804
pfc_69,dms_21,AKED0620210804
pfc_69,dms_89,AKED0620210804
pfc_69,dms_39,AKED0620210804
pfc_69,dms_53,AKED0620210804
pfc_69,dms_90,AKED0620210804
pfc_69,dms_87,AKED0620210804
pfc_69,dms_4,AKED0620210804
pfc_69,dms_78,AKED0620210804
pfc_69,dms_24,AKED0620210804
pfc_69,dms_31,AKED0620210804
pfc_69,dms_26,AKED0620210804
pfc_69,dms_72,AKED0620210804
pfc_69,dms_57,AKED0620210804
pfc_69,dms_52,AKED0620210804
pfc_69,dms_88,AKED0620210804
pfc_69,dms_43,AKED0620210804
pfc_69,dms_18,AKED0620210804
pfc_69,dms_86,AKED0620210804
pfc_69,dms_82,AKED0620210804
pfc_69,dms_41,AKED0620210804
pfc_69,dms_3,AKED0620210804
pfc_69,dms_58,AKED0620210804
pfc_69,dms_61,AKED0620210804
pfc_69,dms_14,AKED0620210804
pfc_69,dms_0,AKED0620210804
pfc_69,dms_66,AKED0620210804
pfc_69,dms_33,AKED0620210804
pfc_69,dms_62,AKED0620210804
pfc_69,dms_22,AKED0620210804
pfc_69,dms_48,AKED0620210804
pfc_72,dms_92,AKED0620210804
pfc_72,dms_8,AKED0620210804
pfc_72,dms_67,AKED0620210804
pfc_72,dms_76,AKED0620210804
pfc_72,dms_7,AKED0620210804
pfc_72,dms_35,AKED0620210804
pfc_72,dms_9,AKED0620210804
pfc_72,dms_83,AKED0620210804
pfc_72,dms_65,AKED0620210804
pfc_72,dms_71,AKED0620210804
pfc_72,dms_77,AKED0620210804
pfc_72,dms_91,AKED0620210804
pfc_72,dms_15,AKED0620210804
pfc_72,dms_79,AKED0620210804
pfc_72,dms_5,AKED0620210804
pfc_72,dms_40,AKED0620210804
pfc_72,dms_59,AKED0620210804
pfc_72,dms_6,AKED0620210804
pfc_72,dms_38,AKED0620210804
pfc_72,dms_84,AKED0620210804
pfc_72,dms_54,AKED0620210804
pfc_72,dms_60,AKED0620210804
pfc_72,dms_55,AKED0620210804
pfc_72,dms_74,AKED0620210804
pfc_72,dms_56,AKED0620210804
pfc_72,dms_69,AKED0620210804
pfc_72,dms_11,AKED0620210804
pfc_72,dms_68,AKED0620210804
pfc_72,dms_29,AKED0620210804
pfc_72,dms_37,AKED0620210804
pfc_72,dms_13,AKED0620210804
pfc_72,dms_20,AKED0620210804
pfc_72,dms_47,AKED0620210804
pfc_72,dms_19,AKED0620210804
pfc_72,dms_16,AKED0620210804
pfc_72,dms_27,AKED0620210804
pfc_72,dms_42,AKED0620210804
pfc_72,dms_2,AKED0620210804
pfc_72,dms_50,AKED0620210804
pfc_72,dms_32,AKED0620210804
pfc_72,dms_17,AKED0620210804
pfc_72,dms_64,AKED0620210804
pfc_72,dms_51,AKED0620210804
pfc_72,dms_85,AKED0620210804
pfc_72,dms_28,AKED0620210804
pfc_72,dms_23,AKED0620210804
pfc_72,dms_34,AKED0620210804
pfc_72,dms_93,AKED0620210804
pfc_72,dms_63,AKED0620210804
pfc_72,dms_46,AKED0620210804
pfc_72,dms_10,AKED0620210804
pfc_72,dms_81,AKED0620210804
pfc_72,dms_25,AKED0620210804
pfc_72,dms_12,AKED0620210804
pfc_72,dms_36,AKED0620210804
pfc_72,dms_30,AKED0620210804
pfc_72,dms_45,AKED0620210804
pfc_72,dms_70,AKED0620210804
pfc_72,dms_80,AKED0620210804
pfc_72,dms_49,AKED0620210804
pfc_72,dms_44,AKED0620210804
pfc_72,dms_75,AKED0620210804
pfc_72,dms_1,AKED0620210804
pfc_72,dms_73,AKED0620210804
pfc_72,dms_21,AKED0620210804
pfc_72,dms_89,AKED0620210804
pfc_72,dms_39,AKED0620210804
pfc_72,dms_53,AKED0620210804
pfc_72,dms_90,AKED0620210804
pfc_72,dms_87,AKED0620210804
pfc_72,dms_4,AKED0620210804
pfc_72,dms_78,AKED0620210804
pfc_72,dms_24,AKED0620210804
pfc_72,dms_31,AKED0620210804
pfc_72,dms_26,AKED0620210804
pfc_72,dms_72,AKED0620210804
pfc_72,dms_57,AKED0620210804
pfc_72,dms_52,AKED0620210804
pfc_72,dms_88,AKED0620210804
pfc_72,dms_43,AKED0620210804
pfc_72,dms_18,AKED0620210804
pfc_72,dms_86,AKED0620210804
pfc_72,dms_82,AKED0620210804
pfc_72,dms_41,AKED0620210804
pfc_72,dms_3,AKED0620210804
pfc_72,dms_58,AKED0620210804
pfc_72,dms_61,AKED0620210804
pfc_72,dms_14,AKED0620210804
pfc_72,dms_0,AKED0620210804
pfc_72,dms_66,AKED0620210804
pfc_72,dms_33,AKED0620210804
pfc_72,dms_62,AKED0620210804
pfc_72,dms_22,AKED0620210804
pfc_72,dms_48,AKED0620210804
pfc_62,dms_92,AKED0620210804
pfc_62,dms_8,AKED0620210804
pfc_62,dms_67,AKED0620210804
pfc_62,dms_76,AKED0620210804
pfc_62,dms_7,AKED0620210804
pfc_62,dms_35,AKED0620210804
pfc_62,dms_9,AKED0620210804
pfc_62,dms_83,AKED0620210804
pfc_62,dms_65,AKED0620210804
pfc_62,dms_71,AKED0620210804
pfc_62,dms_77,AKED0620210804
pfc_62,dms_91,AKED0620210804
pfc_62,dms_15,AKED0620210804
pfc_62,dms_79,AKED0620210804
pfc_62,dms_5,AKED0620210804
pfc_62,dms_40,AKED0620210804
pfc_62,dms_59,AKED0620210804
pfc_62,dms_6,AKED0620210804
pfc_62,dms_38,AKED0620210804
pfc_62,dms_84,AKED0620210804
pfc_62,dms_54,AKED0620210804
pfc_62,dms_60,AKED0620210804
pfc_62,dms_55,AKED0620210804
pfc_62,dms_74,AKED0620210804
pfc_62,dms_56,AKED0620210804
pfc_62,dms_69,AKED0620210804
pfc_62,dms_11,AKED0620210804
pfc_62,dms_68,AKED0620210804
pfc_62,dms_29,AKED0620210804
pfc_62,dms_37,AKED0620210804
pfc_62,dms_13,AKED0620210804
pfc_62,dms_20,AKED0620210804
pfc_62,dms_47,AKED0620210804
pfc_62,dms_19,AKED0620210804
pfc_62,dms_16,AKED0620210804
pfc_62,dms_27,AKED0620210804
pfc_62,dms_42,AKED0620210804
pfc_62,dms_2,AKED0620210804
pfc_62,dms_50,AKED0620210804
pfc_62,dms_32,AKED0620210804
pfc_62,dms_17,AKED0620210804
pfc_62,dms_64,AKED0620210804
pfc_62,dms_51,AKED0620210804
pfc_62,dms_85,AKED0620210804
pfc_62,dms_28,AKED0620210804
pfc_62,dms_23,AKED0620210804
pfc_62,dms_34,AKED0620210804
pfc_62,dms_93,AKED0620210804
pfc_62,dms_63,AKED0620210804
pfc_62,dms_46,AKED0620210804
pfc_62,dms_10,AKED0620210804
pfc_62,dms_81,AKED0620210804
pfc_62,dms_25,AKED0620210804
pfc_62,dms_12,AKED0620210804
pfc_62,dms_36,AKED0620210804
pfc_62,dms_30,AKED0620210804
pfc_62,dms_45,AKED0620210804
pfc_62,dms_70,AKED0620210804
pfc_62,dms_80,AKED0620210804
pfc_62,dms_49,AKED0620210804
pfc_62,dms_44,AKED0620210804
pfc_62,dms_75,AKED0620210804
pfc_62,dms_1,AKED0620210804
pfc_62,dms_73,AKED0620210804
pfc_62,dms_21,AKED0620210804
pfc_62,dms_89,AKED0620210804
pfc_62,dms_39,AKED0620210804
pfc_62,dms_53,AKED0620210804
pfc_62,dms_90,AKED0620210804
pfc_62,dms_87,AKED0620210804
pfc_62,dms_4,AKED0620210804
pfc_62,dms_78,AKED0620210804
pfc_62,dms_24,AKED0620210804
pfc_62,dms_31,AKED0620210804
pfc_62,dms_26,AKED0620210804
pfc_62,dms_72,AKED0620210804
pfc_62,dms_57,AKED0620210804
pfc_62,dms_52,AKED0620210804
pfc_62,dms_88,AKED0620210804
pfc_62,dms_43,AKED0620210804
pfc_62,dms_18,AKED0620210804
pfc_62,dms_86,AKED0620210804
pfc_62,dms_82,AKED0620210804
pfc_62,dms_41,AKED0620210804
pfc_62,dms_3,AKED0620210804
pfc_62,dms_58,AKED0620210804
pfc_62,dms_61,AKED0620210804
pfc_62,dms_14,AKED0620210804
pfc_62,dms_0,AKED0620210804
pfc_62,dms_66,AKED0620210804
pfc_62,dms_33,AKED0620210804
pfc_62,dms_62,AKED0620210804
pfc_62,dms_22,AKED0620210804
pfc_62,dms_48,AKED0620210804
pfc_67,dms_92,AKED0620210804
pfc_67,dms_8,AKED0620210804
pfc_67,dms_67,AKED0620210804
pfc_67,dms_76,AKED0620210804
pfc_67,dms_7,AKED0620210804
pfc_67,dms_35,AKED0620210804
pfc_67,dms_9,AKED0620210804
pfc_67,dms_83,AKED0620210804
pfc_67,dms_65,AKED0620210804
pfc_67,dms_71,AKED0620210804
pfc_67,dms_77,AKED0620210804
pfc_67,dms_91,AKED0620210804
pfc_67,dms_15,AKED0620210804
pfc_67,dms_79,AKED0620210804
pfc_67,dms_5,AKED0620210804
pfc_67,dms_40,AKED0620210804
pfc_67,dms_59,AKED0620210804
pfc_67,dms_6,AKED0620210804
pfc_67,dms_38,AKED0620210804
pfc_67,dms_84,AKED0620210804
pfc_67,dms_54,AKED0620210804
pfc_67,dms_60,AKED0620210804
pfc_67,dms_55,AKED0620210804
pfc_67,dms_74,AKED0620210804
pfc_67,dms_56,AKED0620210804
pfc_67,dms_69,AKED0620210804
pfc_67,dms_11,AKED0620210804
pfc_67,dms_68,AKED0620210804
pfc_67,dms_29,AKED0620210804
pfc_67,dms_37,AKED0620210804
pfc_67,dms_13,AKED0620210804
pfc_67,dms_20,AKED0620210804
pfc_67,dms_47,AKED0620210804
pfc_67,dms_19,AKED0620210804
pfc_67,dms_16,AKED0620210804
pfc_67,dms_27,AKED0620210804
pfc_67,dms_42,AKED0620210804
pfc_67,dms_2,AKED0620210804
pfc_67,dms_50,AKED0620210804
pfc_67,dms_32,AKED0620210804
pfc_67,dms_17,AKED0620210804
pfc_67,dms_64,AKED0620210804
pfc_67,dms_51,AKED0620210804
pfc_67,dms_85,AKED0620210804
pfc_67,dms_28,AKED0620210804
pfc_67,dms_23,AKED0620210804
pfc_67,dms_34,AKED0620210804
pfc_67,dms_93,AKED0620210804
pfc_67,dms_63,AKED0620210804
pfc_67,dms_46,AKED0620210804
pfc_67,dms_10,AKED0620210804
pfc_67,dms_81,AKED0620210804
pfc_67,dms_25,AKED0620210804
pfc_67,dms_12,AKED0620210804
pfc_67,dms_36,AKED0620210804
pfc_67,dms_30,AKED0620210804
pfc_67,dms_45,AKED0620210804
pfc_67,dms_70,AKED0620210804
pfc_67,dms_80,AKED0620210804
pfc_67,dms_49,AKED0620210804
pfc_67,dms_44,AKED0620210804
pfc_67,dms_75,AKED0620210804
pfc_67,dms_1,AKED0620210804
pfc_67,dms_73,AKED0620210804
pfc_67,dms_21,AKED0620210804
pfc_67,dms_89,AKED0620210804
pfc_67,dms_39,AKED0620210804
pfc_67,dms_53,AKED0620210804
pfc_67,dms_90,AKED0620210804
pfc_67,dms_87,AKED0620210804
pfc_67,dms_4,AKED0620210804
pfc_67,dms_78,AKED0620210804
pfc_67,dms_24,AKED0620210804
pfc_67,dms_31,AKED0620210804
pfc_67,dms_26,AKED0620210804
pfc_67,dms_72,AKED0620210804
pfc_67,dms_57,AKED0620210804
pfc_67,dms_52,AKED0620210804
pfc_67,dms_88,AKED0620210804
pfc_67,dms_43,AKED0620210804
pfc_67,dms_18,AKED0620210804
pfc_67,dms_86,AKED0620210804
pfc_67,dms_82,AKED0620210804
pfc_67,dms_41,AKED0620210804
pfc_67,dms_3,AKED0620210804
pfc_67,dms_58,AKED0620210804
pfc_67,dms_61,AKED0620210804
pfc_67,dms_14,AKED0620210804
pfc_67,dms_0,AKED0620210804
pfc_67,dms_66,AKED0620210804
pfc_67,dms_33,AKED0620210804
pfc_67,dms_62,AKED0620210804
pfc_67,dms_22,AKED0620210804
pfc_67,dms_48,AKED0620210804
pfc_9,dms_92,AKED0620210804
pfc_9,dms_8,AKED0620210804
pfc_9,dms_67,AKED0620210804
pfc_9,dms_76,AKED0620210804
pfc_9,dms_7,AKED0620210804
pfc_9,dms_35,AKED0620210804
pfc_9,dms_9,AKED0620210804
pfc_9,dms_83,AKED0620210804
pfc_9,dms_65,AKED0620210804
pfc_9,dms_71,AKED0620210804
pfc_9,dms_77,AKED0620210804
pfc_9,dms_91,AKED0620210804
pfc_9,dms_15,AKED0620210804
pfc_9,dms_79,AKED0620210804
pfc_9,dms_5,AKED0620210804
pfc_9,dms_40,AKED0620210804
pfc_9,dms_59,AKED0620210804
pfc_9,dms_6,AKED0620210804
pfc_9,dms_38,AKED0620210804
pfc_9,dms_84,AKED0620210804
pfc_9,dms_54,AKED0620210804
pfc_9,dms_60,AKED0620210804
pfc_9,dms_55,AKED0620210804
pfc_9,dms_74,AKED0620210804
pfc_9,dms_56,AKED0620210804
pfc_9,dms_69,AKED0620210804
pfc_9,dms_11,AKED0620210804
pfc_9,dms_68,AKED0620210804
pfc_9,dms_29,AKED0620210804
pfc_9,dms_37,AKED0620210804
pfc_9,dms_13,AKED0620210804
pfc_9,dms_20,AKED0620210804
pfc_9,dms_47,AKED0620210804
pfc_9,dms_19,AKED0620210804
pfc_9,dms_16,AKED0620210804
pfc_9,dms_27,AKED0620210804
pfc_9,dms_42,AKED0620210804
pfc_9,dms_2,AKED0620210804
pfc_9,dms_50,AKED0620210804
pfc_9,dms_32,AKED0620210804
pfc_9,dms_17,AKED0620210804
pfc_9,dms_64,AKED0620210804
pfc_9,dms_51,AKED0620210804
pfc_9,dms_85,AKED0620210804
pfc_9,dms_28,AKED0620210804
pfc_9,dms_23,AKED0620210804
pfc_9,dms_34,AKED0620210804
pfc_9,dms_93,AKED0620210804
pfc_9,dms_63,AKED0620210804
pfc_9,dms_46,AKED0620210804
pfc_9,dms_10,AKED0620210804
pfc_9,dms_81,AKED0620210804
pfc_9,dms_25,AKED0620210804
pfc_9,dms_12,AKED0620210804
pfc_9,dms_36,AKED0620210804
pfc_9,dms_30,AKED0620210804
pfc_9,dms_45,AKED0620210804
pfc_9,dms_70,AKED0620210804
pfc_9,dms_80,AKED0620210804
pfc_9,dms_49,AKED0620210804
pfc_9,dms_44,AKED0620210804
pfc_9,dms_75,AKED0620210804
pfc_9,dms_1,AKED0620210804
pfc_9,dms_73,AKED0620210804
pfc_9,dms_21,AKED0620210804
pfc_9,dms_89,AKED0620210804
pfc_9,dms_39,AKED0620210804
pfc_9,dms_53,AKED0620210804
pfc_9,dms_90,AKED0620210804
pfc_9,dms_87,AKED0620210804
pfc_9,dms_4,AKED0620210804
pfc_9,dms_78,AKED0620210804
pfc_9,dms_24,AKED0620210804
pfc_9,dms_31,AKED0620210804
pfc_9,dms_26,AKED0620210804
pfc_9,dms_72,AKED0620210804
pfc_9,dms_57,AKED0620210804
pfc_9,dms_52,AKED0620210804
pfc_9,dms_88,AKED0620210804
pfc_9,dms_43,AKED0620210804
pfc_9,dms_18,AKED0620210804
pfc_9,dms_86,AKED0620210804
pfc_9,dms_82,AKED0620210804
pfc_9,dms_41,AKED0620210804
pfc_9,dms_3,AKED0620210804
pfc_9,dms_58,AKED0620210804
pfc_9,dms_61,AKED0620210804
pfc_9,dms_14,AKED0620210804
pfc_9,dms_0,AKED0620210804
pfc_9,dms_66,AKED0620210804
pfc_9,dms_33,AKED0620210804
pfc_9,dms_62,AKED0620210804
pfc_9,dms_22,AKED0620210804
pfc_9,dms_48,AKED0620210804
pfc_54,dms_92,AKED0620210804
pfc_54,dms_8,AKED0620210804
pfc_54,dms_67,AKED0620210804
pfc_54,dms_76,AKED0620210804
pfc_54,dms_7,AKED0620210804
pfc_54,dms_35,AKED0620210804
pfc_54,dms_9,AKED0620210804
pfc_54,dms_83,AKED0620210804
pfc_54,dms_65,AKED0620210804
pfc_54,dms_71,AKED0620210804
pfc_54,dms_77,AKED0620210804
pfc_54,dms_91,AKED0620210804
pfc_54,dms_15,AKED0620210804
pfc_54,dms_79,AKED0620210804
pfc_54,dms_5,AKED0620210804
pfc_54,dms_40,AKED0620210804
pfc_54,dms_59,AKED0620210804
pfc_54,dms_6,AKED0620210804
pfc_54,dms_38,AKED0620210804
pfc_54,dms_84,AKED0620210804
pfc_54,dms_54,AKED0620210804
pfc_54,dms_60,AKED0620210804
pfc_54,dms_55,AKED0620210804
pfc_54,dms_74,AKED0620210804
pfc_54,dms_56,AKED0620210804
pfc_54,dms_69,AKED0620210804
pfc_54,dms_11,AKED0620210804
pfc_54,dms_68,AKED0620210804
pfc_54,dms_29,AKED0620210804
pfc_54,dms_37,AKED0620210804
pfc_54,dms_13,AKED0620210804
pfc_54,dms_20,AKED0620210804
pfc_54,dms_47,AKED0620210804
pfc_54,dms_19,AKED0620210804
pfc_54,dms_16,AKED0620210804
pfc_54,dms_27,AKED0620210804
pfc_54,dms_42,AKED0620210804
pfc_54,dms_2,AKED0620210804
pfc_54,dms_50,AKED0620210804
pfc_54,dms_32,AKED0620210804
pfc_54,dms_17,AKED0620210804
pfc_54,dms_64,AKED0620210804
pfc_54,dms_51,AKED0620210804
pfc_54,dms_85,AKED0620210804
pfc_54,dms_28,AKED0620210804
pfc_54,dms_23,AKED0620210804
pfc_54,dms_34,AKED0620210804
pfc_54,dms_93,AKED0620210804
pfc_54,dms_63,AKED0620210804
pfc_54,dms_46,AKED0620210804
pfc_54,dms_10,AKED0620210804
pfc_54,dms_81,AKED0620210804
pfc_54,dms_25,AKED0620210804
pfc_54,dms_12,AKED0620210804
pfc_54,dms_36,AKED0620210804
pfc_54,dms_30,AKED0620210804
pfc_54,dms_45,AKED0620210804
pfc_54,dms_70,AKED0620210804
pfc_54,dms_80,AKED0620210804
pfc_54,dms_49,AKED0620210804
pfc_54,dms_44,AKED0620210804
pfc_54,dms_75,AKED0620210804
pfc_54,dms_1,AKED0620210804
pfc_54,dms_73,AKED0620210804
pfc_54,dms_21,AKED0620210804
pfc_54,dms_89,AKED0620210804
pfc_54,dms_39,AKED0620210804
pfc_54,dms_53,AKED0620210804
pfc_54,dms_90,AKED0620210804
pfc_54,dms_87,AKED0620210804
pfc_54,dms_4,AKED0620210804
pfc_54,dms_78,AKED0620210804
pfc_54,dms_24,AKED0620210804
pfc_54,dms_31,AKED0620210804
pfc_54,dms_26,AKED0620210804
pfc_54,dms_72,AKED0620210804
pfc_54,dms_57,AKED0620210804
pfc_54,dms_52,AKED0620210804
pfc_54,dms_88,AKED0620210804
pfc_54,dms_43,AKED0620210804
pfc_54,dms_18,AKED0620210804
pfc_54,dms_86,AKED0620210804
pfc_54,dms_82,AKED0620210804
pfc_54,dms_41,AKED0620210804
pfc_54,dms_3,AKED0620210804
pfc_54,dms_58,AKED0620210804
pfc_54,dms_61,AKED0620210804
pfc_54,dms_14,AKED0620210804
pfc_54,dms_0,AKED0620210804
pfc_54,dms_66,AKED0620210804
pfc_54,dms_33,AKED0620210804
pfc_54,dms_62,AKED0620210804
pfc_54,dms_22,AKED0620210804
pfc_54,dms_48,AKED0620210804
pfc_42,dms_92,AKED0620210804
pfc_42,dms_8,AKED0620210804
pfc_42,dms_67,AKED0620210804
pfc_42,dms_76,AKED0620210804
pfc_42,dms_7,AKED0620210804
pfc_42,dms_35,AKED0620210804
pfc_42,dms_9,AKED0620210804
pfc_42,dms_83,AKED0620210804
pfc_42,dms_65,AKED0620210804
pfc_42,dms_71,AKED0620210804
pfc_42,dms_77,AKED0620210804
pfc_42,dms_91,AKED0620210804
pfc_42,dms_15,AKED0620210804
pfc_42,dms_79,AKED0620210804
pfc_42,dms_5,AKED0620210804
pfc_42,dms_40,AKED0620210804
pfc_42,dms_59,AKED0620210804
pfc_42,dms_6,AKED0620210804
pfc_42,dms_38,AKED0620210804
pfc_42,dms_84,AKED0620210804
pfc_42,dms_54,AKED0620210804
pfc_42,dms_60,AKED0620210804
pfc_42,dms_55,AKED0620210804
pfc_42,dms_74,AKED0620210804
pfc_42,dms_56,AKED0620210804
pfc_42,dms_69,AKED0620210804
pfc_42,dms_11,AKED0620210804
pfc_42,dms_68,AKED0620210804
pfc_42,dms_29,AKED0620210804
pfc_42,dms_37,AKED0620210804
pfc_42,dms_13,AKED0620210804
pfc_42,dms_20,AKED0620210804
pfc_42,dms_47,AKED0620210804
pfc_42,dms_19,AKED0620210804
pfc_42,dms_16,AKED0620210804
pfc_42,dms_27,AKED0620210804
pfc_42,dms_42,AKED0620210804
pfc_42,dms_2,AKED0620210804
pfc_42,dms_50,AKED0620210804
pfc_42,dms_32,AKED0620210804
pfc_42,dms_17,AKED0620210804
pfc_42,dms_64,AKED0620210804
pfc_42,dms_51,AKED0620210804
pfc_42,dms_85,AKED0620210804
pfc_42,dms_28,AKED0620210804
pfc_42,dms_23,AKED0620210804
pfc_42,dms_34,AKED0620210804
pfc_42,dms_93,AKED0620210804
pfc_42,dms_63,AKED0620210804
pfc_42,dms_46,AKED0620210804
pfc_42,dms_10,AKED0620210804
pfc_42,dms_81,AKED0620210804
pfc_42,dms_25,AKED0620210804
pfc_42,dms_12,AKED0620210804
pfc_42,dms_36,AKED0620210804
pfc_42,dms_30,AKED0620210804
pfc_42,dms_45,AKED0620210804
pfc_42,dms_70,AKED0620210804
pfc_42,dms_80,AKED0620210804
pfc_42,dms_49,AKED0620210804
pfc_42,dms_44,AKED0620210804
pfc_42,dms_75,AKED0620210804
pfc_42,dms_1,AKED0620210804
pfc_42,dms_73,AKED0620210804
pfc_42,dms_21,AKED0620210804
pfc_42,dms_89,AKED0620210804
pfc_42,dms_39,AKED0620210804
pfc_42,dms_53,AKED0620210804
pfc_42,dms_90,AKED0620210804
pfc_42,dms_87,AKED0620210804
pfc_42,dms_4,AKED0620210804
pfc_42,dms_78,AKED0620210804
pfc_42,dms_24,AKED0620210804
pfc_42,dms_31,AKED0620210804
pfc_42,dms_26,AKED0620210804
pfc_42,dms_72,AKED0620210804
pfc_42,dms_57,AKED0620210804
